🕘️更新时间,#genre#
2025-09-15 19:03:19,http://61.176.24.78:40001/rtp/232.0.0.212:1234

📺央视频道,#genre#
CETV-1,http://61.176.24.78:40001/rtp/232.0.0.212:1234
CETV-1,http://121.29.141.59:4022/rtp/239.253.92.211:6069
CETV-1,http://223.167.230.154:4022/rtp/239.45.1.125:5140
CETV-1,http://112.66.81.142:8188/rtp/239.253.64.169:5140
CETV-1,http://122.189.103.2:8010/rtp/228.0.0.146:7146
CETV-1,http://171.113.216.147:4022/rtp/239.69.1.110:10298
CETV-1,http://113.106.171.234:8899/rtp/239.20.0.213:2224
CETV-1,http://114.254.39.135:18888/rtp/239.3.1.57:8152
CETV-1,http://183.220.20.17:4321/rtp/239.11.0.139:5140
CETV-1,http://180.154.61.39:4022/rtp/239.45.1.125:5140
CETV-2,http://182.110.170.173:4022/rtp/239.252.219.73:5140
CETV-2,http://117.39.34.100:4022/rtp/239.109.205.48:8320
CETV-2,http://112.66.81.142:8188/rtp/239.253.64.128:5140
CETV-2,http://122.189.103.2:8010/rtp/228.0.0.198:7198
CETV-2,http://218.8.87.96:4000/rtp/229.58.190.59:5000
CETV-2,http://220.167.170.137:4000/rtp/239.120.1.44:8238
CETV-2,http://113.106.171.234:8899/rtp/239.21.0.46:3524
CETV-2,http://121.29.141.59:4022/rtp/239.253.92.108:6136
CETV-2,http://223.167.230.154:4022/rtp/239.45.1.52:5140
CETV-2,http://112.109.206.106:9999/rtp/239.255.40.30:8208
CETV-4,http://221.10.226.195:5000/rtp/239.0.0.98:5140
CETV-4,http://117.174.25.254:8188/rtp/239.0.0.98:5140
CETV-4,http://106.116.243.22:9999/rtp/239.254.200.227:6261
CETV-4,http://111.226.232.97:10010/rtp/239.254.200.227:6261
CETV-4,http://121.29.141.59:4022/rtp/239.253.92.200:6137
CETV-4,http://61.159.134.140:4022/rtp/238.255.2.222:5999
CETV-4,http://61.159.135.91:4022/rtp/238.255.2.222:5999
CETV-4,http://120.40.60.223:1000/rtp/239.61.3.15:9608
CETV-4,http://117.39.34.100:4022/rtp/239.111.205.15:5140
CETV-4,http://182.110.170.173:4022/rtp/239.252.219.169:5140

💰央视付费频道,#genre#
央视台球,http://115.171.216.58:4000/rtp/225.1.8.245:4120
央视台球,http://115.171.216.80:4000/rtp/225.1.8.245:4120

📡卫视频道,#genre#
北京卫视,http://satellitepull.cnr.cn/live/wxbtv/playlist.m3u8
甘肃卫视,http://120.40.60.223:1000/rtp/239.61.2.225:9338
河南卫视,http://1.94.31.214/php/hntv.php?id=hnws
河南卫视,http://223.167.230.154:4022/rtp/239.45.0.3:5140
河南卫视,http://180.154.61.39:4022/rtp/239.45.0.3:5140
河南卫视,http://116.234.77.27:4022/rtp/239.45.0.3:5140
河南卫视,http://223.167.245.215:8001/rtp/239.45.0.3:5140
河南卫视,http://180.165.12.90:4022/rtp/239.45.0.3:5140
河南卫视,http://180.165.6.184:4022/rtp/239.45.0.3:5140
河南卫视,http://180.165.1.43:9898/rtp/239.45.0.3:5140
吉林卫视,http://120.40.60.223:1000/rtp/239.61.2.223:9326
